file name,manget,kb,mb,gb
24小时：再活一天.24.Live.Another.Day.S09E11.HD720P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:DHEGJFUMXPC46NGGCNUF7UZA34JRUOBH,904960.119140625,883.7501163482666
24小时：再活一天.24.Live.Another.Day.S09E12.HD1080P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:SA66BPTQ6C4I5HQO5YAZUIHPHXZLIVCD,1694720.119140625,1655.0001163482666
24小时：再活一天.24.Live.Another.Day.S09E12.HD720P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:YE6EU5M3IKDRBZI3KK6ZQLZV73BZECEY,913920.119140625,892.5001163482666
300勇士：帝国崛起.300.Rise.of.an.Empire.2014.BD1080P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:PHOPQCLAIWRVOU7MUQSWAZQWGQDTPEA6,3642955.720703125,3557.5739459991455
300勇士：帝国崛起.300.Rise.of.an.Empire.2014.BD720P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:MKWEMEC5QUZ35B2ZQTPBYJP6NIAOQUPR,1956046.3056640625,1910.201470375061
33名矿工.The.33.2015.BD1080P.X264.AAC.English.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:YMYQMDV275ML4FKWPPO3OERHMRF7LB6R,5602304.119140625,5471.000116348267
33名矿工.The.33.2015.BD720P.X264.AAC.English.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:J4XV2VDAXBVEUKBHZ43I6QOE74FF4BVU,2712576.119140625,2649.0001163482666
33名矿工.The.33.2015.HD1080P.X264.AAC.English.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:PQDTPDVIOAWIUG4COXNQGRO72UOYTBZD,4724736.119140625,4614.000116348267
33名矿工.The.33.2015.HD720P.X264.AAC.English.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:F5KFKNFYRPTW5DWMZC5CAUC4YUGP4FHT,2448896.119140625,2391.5001163482666
37次想你.Forget.All.Remember.2014.HD1080P.X264.AAC.Mandarin.CHS.Mp4Ba.torrent,magnet:?xt=urn:btih:6LG3UCDBPZK6PW3RN7ENRTLLYA7XZ74C,2056192.119140625,2008.0001163482666
